elapsed_month,value,label
0,0.972222,not_linked
1,0.5,not_linked
2,0.0,not_linked
3,0.607143,not_linked
4,0.653333,not_linked
5,0.661765,not_linked
6,0.75,not_linked
7,0.717949,not_linked
8,0.758621,not_linked
9,0.795455,not_linked
10,0.633333,not_linked
11,0.666667,not_linked
12,0.75,not_linked
13,0.861111,not_linked
14,0.6,not_linked
15,0.857143,not_linked
16,0.956522,not_linked
17,0.961538,not_linked
18,0.857143,not_linked
19,0.954545,not_linked
20,0.975,not_linked
21,0.913793,not_linked
22,1.0,not_linked
23,0.83871,not_linked
24,1.0,not_linked
25,1.0,not_linked
26,1.0,not_linked
27,1.0,not_linked
28,0.0,not_linked
29,0.0,not_linked
30,0.0,not_linked
31,0.0,not_linked
32,0.0,not_linked
33,0.0,not_linked
34,0.0,not_linked
35,0.0,not_linked
0,0.027778,linked
1,0.5,linked
2,1.0,linked
3,0.392857,linked
4,0.346667,linked
5,0.338235,linked
6,0.25,linked
7,0.282051,linked
8,0.241379,linked
9,0.204545,linked
10,0.366667,linked
11,0.333333,linked
12,0.25,linked
13,0.138889,linked
14,0.4,linked
15,0.142857,linked
16,0.043478,linked
17,0.038462,linked
18,0.142857,linked
19,0.045455,linked
20,0.025,linked
21,0.086207,linked
22,0.0,linked
23,0.16129,linked
24,0.0,linked
25,0.0,linked
26,0.0,linked
27,0.0,linked
28,0.0,linked
29,0.0,linked
30,0.0,linked
31,0.0,linked
32,0.0,linked
33,0.0,linked
34,0.0,linked
35,0.0,linked
0,1.0,total
1,1.0,total
2,1.0,total
3,1.0,total
4,1.0,total
5,1.0,total
6,1.0,total
7,1.0,total
8,1.0,total
9,1.0,total
10,1.0,total
11,1.0,total
12,1.0,total
13,1.0,total
14,1.0,total
15,1.0,total
16,1.0,total
17,1.0,total
18,1.0,total
19,1.0,total
20,1.0,total
21,1.0,total
22,1.0,total
23,1.0,total
24,1.0,total
25,1.0,total
26,1.0,total
27,1.0,total
28,0.0,total
29,0.0,total
30,0.0,total
31,0.0,total
32,0.0,total
33,0.0,total
34,0.0,total
35,0.0,total
