elapsed_month,value,label
0,0.0,not_linked
1,0.0,not_linked
2,0.0,not_linked
3,0.0,not_linked
4,0.0,not_linked
5,0.0,not_linked
6,0.0,not_linked
7,0.0,not_linked
8,0.0,not_linked
9,0.0,not_linked
10,0.0,not_linked
11,0.0,not_linked
12,0.0,not_linked
13,0.25,not_linked
14,0.5,not_linked
15,0.0,not_linked
16,0.0,not_linked
17,0.0,not_linked
18,0.666667,not_linked
19,1.0,not_linked
20,1.0,not_linked
21,0.5,not_linked
22,0.5,not_linked
23,0.0,not_linked
24,0.0,not_linked
25,0.0,not_linked
26,0.5,not_linked
27,0.333333,not_linked
28,0.0,not_linked
29,0.0,not_linked
30,0.5,not_linked
31,0.0,not_linked
32,0.0,not_linked
33,0.0,not_linked
34,0.0,not_linked
35,0.0,not_linked
0,0.0,linked
1,0.0,linked
2,0.0,linked
3,0.0,linked
4,0.0,linked
5,0.0,linked
6,0.0,linked
7,0.0,linked
8,0.0,linked
9,0.0,linked
10,1.0,linked
11,1.0,linked
12,1.0,linked
13,0.75,linked
14,0.5,linked
15,1.0,linked
16,1.0,linked
17,0.0,linked
18,0.333333,linked
19,0.0,linked
20,0.0,linked
21,0.5,linked
22,0.5,linked
23,0.0,linked
24,0.0,linked
25,0.0,linked
26,0.5,linked
27,0.666667,linked
28,1.0,linked
29,1.0,linked
30,0.5,linked
31,1.0,linked
32,0.0,linked
33,0.0,linked
34,0.0,linked
35,0.0,linked
0,0.0,total
1,0.0,total
2,0.0,total
3,0.0,total
4,0.0,total
5,0.0,total
6,0.0,total
7,0.0,total
8,0.0,total
9,0.0,total
10,1.0,total
11,1.0,total
12,1.0,total
13,1.0,total
14,1.0,total
15,1.0,total
16,1.0,total
17,0.0,total
18,1.0,total
19,1.0,total
20,1.0,total
21,1.0,total
22,1.0,total
23,0.0,total
24,0.0,total
25,0.0,total
26,1.0,total
27,1.0,total
28,1.0,total
29,1.0,total
30,1.0,total
31,1.0,total
32,0.0,total
33,0.0,total
34,0.0,total
35,0.0,total
