elapsed_month,value,repo_count,count,label
0,0.841092,19,895,not_linked
1,0.668114,20,984,not_linked
2,0.703721,21,1023,not_linked
3,0.676204,20,923,not_linked
4,0.721218,22,908,not_linked
5,0.685799,22,1041,not_linked
6,0.696277,21,1052,not_linked
7,0.719481,20,1123,not_linked
8,0.68279,22,1143,not_linked
9,0.667205,21,1272,not_linked
10,0.629702,20,1236,not_linked
11,0.694646,22,1032,not_linked
12,0.622345,22,1037,not_linked
13,0.716828,22,949,not_linked
14,0.63819,22,1008,not_linked
15,0.737885,21,996,not_linked
16,0.734645,20,1123,not_linked
17,0.738293,20,1165,not_linked
18,0.70493,19,1128,not_linked
19,0.661224,20,1117,not_linked
20,0.717204,18,1178,not_linked
21,0.707274,21,972,not_linked
22,0.711175,21,1149,not_linked
23,0.694214,20,1070,not_linked
24,0.752509,20,1176,not_linked
25,0.719197,19,1204,not_linked
26,0.735804,20,1096,not_linked
27,0.729952,20,1062,not_linked
28,0.71187,20,927,not_linked
29,0.700788,19,1208,not_linked
30,0.680554,20,1106,not_linked
31,0.660316,20,1050,not_linked
32,0.696074,19,946,not_linked
33,0.730768,19,974,not_linked
34,0.667904,19,1073,not_linked
35,0.673896,19,1047,not_linked
0,0.158908,19,895,linked
1,0.331886,20,984,linked
2,0.296279,21,1023,linked
3,0.323796,20,923,linked
4,0.278782,22,908,linked
5,0.314201,22,1041,linked
6,0.303723,21,1052,linked
7,0.280519,20,1123,linked
8,0.31721,22,1143,linked
9,0.332795,21,1272,linked
10,0.370298,20,1236,linked
11,0.305354,22,1032,linked
12,0.377655,22,1037,linked
13,0.283172,22,949,linked
14,0.36181,22,1008,linked
15,0.262115,21,996,linked
16,0.265355,20,1123,linked
17,0.261707,20,1165,linked
18,0.29507,19,1128,linked
19,0.338776,20,1117,linked
20,0.282796,18,1178,linked
21,0.292726,21,972,linked
22,0.288825,21,1149,linked
23,0.305786,20,1070,linked
24,0.247491,20,1176,linked
25,0.280803,19,1204,linked
26,0.264196,20,1096,linked
27,0.270048,20,1062,linked
28,0.28813,20,927,linked
29,0.299212,19,1208,linked
30,0.319446,20,1106,linked
31,0.339684,20,1050,linked
32,0.303926,19,946,linked
33,0.269232,19,974,linked
34,0.332096,19,1073,linked
35,0.326104,19,1047,linked
0,1.0,19,895,total
1,1.0,20,984,total
2,1.0,21,1023,total
3,1.0,20,923,total
4,1.0,22,908,total
5,1.0,22,1041,total
6,1.0,21,1052,total
7,1.0,20,1123,total
8,1.0,22,1143,total
9,1.0,21,1272,total
10,1.0,20,1236,total
11,1.0,22,1032,total
12,1.0,22,1037,total
13,1.0,22,949,total
14,1.0,22,1008,total
15,1.0,21,996,total
16,1.0,20,1123,total
17,1.0,20,1165,total
18,1.0,19,1128,total
19,1.0,20,1117,total
20,1.0,18,1178,total
21,1.0,21,972,total
22,1.0,21,1149,total
23,1.0,20,1070,total
24,1.0,20,1176,total
25,1.0,19,1204,total
26,1.0,20,1096,total
27,1.0,20,1062,total
28,1.0,20,927,total
29,1.0,19,1208,total
30,1.0,20,1106,total
31,1.0,20,1050,total
32,1.0,19,946,total
33,1.0,19,974,total
34,1.0,19,1073,total
35,1.0,19,1047,total
