elapsed_month,value,repo_count,count,label
0,0.725522,13,612,not_linked
1,0.778594,17,868,not_linked
2,0.666959,18,846,not_linked
3,0.558172,19,597,not_linked
4,0.623173,20,822,not_linked
5,0.583123,20,877,not_linked
6,0.761269,19,850,not_linked
7,0.593821,18,1023,not_linked
8,0.551251,21,1225,not_linked
9,0.558939,20,1304,not_linked
10,0.691847,19,1257,not_linked
11,0.566688,23,1164,not_linked
12,0.723082,21,1060,not_linked
13,0.539076,22,1465,not_linked
14,0.576993,22,1281,not_linked
15,0.610665,22,1425,not_linked
16,0.646957,23,1303,not_linked
17,0.717441,21,1589,not_linked
18,0.639236,21,1465,not_linked
19,0.688009,22,1494,not_linked
20,0.669265,20,2560,not_linked
21,0.633541,22,1888,not_linked
22,0.642106,21,1387,not_linked
23,0.707662,17,1264,not_linked
24,0.784606,18,1180,not_linked
25,0.637165,20,1019,not_linked
26,0.655856,21,1045,not_linked
27,0.625178,20,1102,not_linked
28,0.522205,20,1035,not_linked
29,0.611075,19,959,not_linked
30,0.575739,19,799,not_linked
31,0.631961,17,751,not_linked
32,0.619612,18,741,not_linked
33,0.588919,18,787,not_linked
34,0.616404,18,687,not_linked
35,0.703038,16,719,not_linked
0,0.274478,13,612,linked
1,0.221406,17,868,linked
2,0.333041,18,846,linked
3,0.441828,19,597,linked
4,0.376827,20,822,linked
5,0.416877,20,877,linked
6,0.238731,19,850,linked
7,0.406179,18,1023,linked
8,0.448749,21,1225,linked
9,0.441061,20,1304,linked
10,0.308153,19,1257,linked
11,0.433312,23,1164,linked
12,0.276918,21,1060,linked
13,0.460924,22,1465,linked
14,0.423007,22,1281,linked
15,0.389335,22,1425,linked
16,0.353043,23,1303,linked
17,0.282559,21,1589,linked
18,0.360764,21,1465,linked
19,0.311991,22,1494,linked
20,0.330735,20,2560,linked
21,0.366459,22,1888,linked
22,0.357894,21,1387,linked
23,0.292338,17,1264,linked
24,0.215394,18,1180,linked
25,0.362835,20,1019,linked
26,0.344144,21,1045,linked
27,0.374822,20,1102,linked
28,0.477795,20,1035,linked
29,0.388925,19,959,linked
30,0.424261,19,799,linked
31,0.368039,17,751,linked
32,0.380388,18,741,linked
33,0.411081,18,787,linked
34,0.383596,18,687,linked
35,0.296962,16,719,linked
0,1.0,13,612,total
1,1.0,17,868,total
2,1.0,18,846,total
3,1.0,19,597,total
4,1.0,20,822,total
5,1.0,20,877,total
6,1.0,19,850,total
7,1.0,18,1023,total
8,1.0,21,1225,total
9,1.0,20,1304,total
10,1.0,19,1257,total
11,1.0,23,1164,total
12,1.0,21,1060,total
13,1.0,22,1465,total
14,1.0,22,1281,total
15,1.0,22,1425,total
16,1.0,23,1303,total
17,1.0,21,1589,total
18,1.0,21,1465,total
19,1.0,22,1494,total
20,1.0,20,2560,total
21,1.0,22,1888,total
22,1.0,21,1387,total
23,1.0,17,1264,total
24,1.0,18,1180,total
25,1.0,20,1019,total
26,1.0,21,1045,total
27,1.0,20,1102,total
28,1.0,20,1035,total
29,1.0,19,959,total
30,1.0,19,799,total
31,1.0,17,751,total
32,1.0,18,741,total
33,1.0,18,787,total
34,1.0,18,687,total
35,1.0,16,719,total
