elapsed_month,month,elapsed_years,mean,median,std,count
0,2023-08-01,0.0,129.1818181818182,90.0,87.18694647918137,11
1,2023-09-01,0.08333333333333333,143.0,160.0,68.52736679604726,4
2,2023-10-01,0.16666666666666666,48.333333333333336,35.0,39.71565602295062,3
3,2023-11-01,0.25,126.0,117.0,102.8999514091236,6
4,2023-12-01,0.3333333333333333,169.33333333333334,119.0,158.6074819588702,3
5,2024-01-01,0.4166666666666667,153.0,122.0,118.94326378572265,5
8,2024-04-01,0.6666666666666666,207.33333333333334,293.0,156.23806621093763,3
10,2024-06-01,0.8333333333333334,49.0,49.0,19.79898987322333,2
11,2024-07-01,0.9166666666666666,216.0,216.0,193.74725804511402,2
12,2024-08-01,1.0,226.85714285714286,246.0,112.24887315162465,7
13,2024-09-01,1.0833333333333333,293.0,293.0,0.0,1
14,2024-10-01,1.1666666666666667,116.66666666666667,150.0,73.87376620515116,3
15,2024-11-01,1.25,74.0,52.0,62.0,3
17,2025-01-01,1.4166666666666667,157.5,157.5,0.7071067811865476,2
18,2025-02-01,1.5,131.5,131.5,3.5355339059327378,2
20,2025-04-01,1.6666666666666667,7.5,7.5,0.7071067811865476,2
24,2025-08-01,2.0,19.0,19.0,0.0,1
