elapsed_month,month,elapsed_years,mean,median,std,count
0,2015-10-01,0.0,19.0,19.0,0.0,1
2,2015-12-01,0.16666666666666666,181.0,181.0,0.0,2
3,2016-01-01,0.25,161.0,165.0,10.074720839804943,5
4,2016-02-01,0.3333333333333333,140.0,140.0,0.0,1
7,2016-05-01,0.5833333333333334,28.0,28.0,0.0,1
8,2016-06-01,0.6666666666666666,4.75,2.0,5.5,4
9,2016-07-01,0.75,67.4,63.0,9.813256340277677,5
11,2016-09-01,0.9166666666666666,27.6,15.0,27.09797040370367,5
12,2016-10-01,1.0,56.666666666666664,52.5,9.45868207873944,6
14,2016-12-01,1.1666666666666667,8.333333333333334,8.0,0.5773502691896258,3
17,2017-03-01,1.4166666666666667,3.4615384615384617,1.0,5.059897637557909,13
18,2017-04-01,1.5,12.666666666666666,13.0,10.782702196883056,6
19,2017-05-01,1.5833333333333333,2.7058823529411766,1.0,4.0363058241271,51
20,2017-06-01,1.6666666666666667,35.2,38.0,20.571825392998065,5
21,2017-07-01,1.75,54.0,17.0,56.24086132660685,30
22,2017-08-01,1.8333333333333333,99.0,99.0,0.0,3
23,2017-09-01,1.9166666666666667,82.0,82.0,0.0,5
24,2017-10-01,2.0,83.375,53.0,55.11396295897691,24
25,2017-11-01,2.0833333333333335,16.576923076923077,20.0,6.585882336775093,26
26,2017-12-01,2.1666666666666665,21.25,30.0,15.6695032892984,16
27,2018-01-01,2.25,24.94736842105263,10.0,29.702986808064555,38
28,2018-02-01,2.3333333333333335,40.285714285714285,41.0,7.252537703169041,42
29,2018-03-01,2.4166666666666665,21.933333333333334,9.0,28.646806942879323,60
30,2018-04-01,2.5,12.185185185185185,15.0,12.412887338559553,27
31,2018-05-01,2.5833333333333335,30.3125,22.0,15.845203650423818,48
32,2018-06-01,2.6666666666666665,31.941176470588236,40.0,22.399866309761475,34
33,2018-07-01,2.75,20.591836734693878,15.0,12.828871032666479,49
34,2018-08-01,2.8333333333333335,14.791666666666666,4.0,39.066252718289675,24
35,2018-09-01,2.9166666666666665,3.6,1.0,6.176355593799035,20
