elapsed_month,month,elapsed_years,mean,median,std,count
0,2021-09-01,0.0,147.0,147.0,0.0,2
2,2021-11-01,0.16666666666666666,59.0,59.0,0.0,1
3,2021-12-01,0.25,48.0,48.0,0.0,4
4,2022-01-01,0.3333333333333333,77.66666666666667,6.0,129.3612512823424,3
5,2022-02-01,0.4166666666666667,171.0,171.0,0.0,1
8,2022-05-01,0.6666666666666666,348.0,348.0,0.0,2
10,2022-07-01,0.8333333333333334,150.5,150.5,147.22431864335456,4
12,2022-09-01,1.0,236.0,236.0,0.0,3
13,2022-10-01,1.0833333333333333,186.0,186.0,0.0,1
14,2022-11-01,1.1666666666666667,157.66666666666666,160.0,4.041451884327382,3
15,2022-12-01,1.25,134.2,139.0,6.572670690061991,5
16,2023-01-01,1.3333333333333333,113.0,113.0,0.0,8
18,2023-03-01,1.5,46.0,46.0,0.0,3
19,2023-04-01,1.5833333333333333,76.0,76.0,0.0,1
20,2023-05-01,1.6666666666666667,39.0,39.0,0.0,1
22,2023-07-01,1.8333333333333333,188.0,188.0,0.0,1
24,2023-09-01,2.0,130.0,130.0,0.0,1
27,2023-12-01,2.25,27.0,27.0,0.0,2
