elapsed_month,month,elapsed_years,mean,median,std,count
0,2021-06-01,0.0,231.0,231.0,0.0,1
1,2021-07-01,0.08333333333333333,175.0,175.0,0.0,1
2,2021-08-01,0.16666666666666666,97.5,97.5,26.16295090390226,2
4,2021-10-01,0.3333333333333333,271.0,271.0,0.0,1
6,2021-12-01,0.5,229.0,229.0,31.11269837220809,2
8,2022-02-01,0.6666666666666666,317.0,317.0,0.0,1
9,2022-03-01,0.75,168.66666666666666,139.0,95.03858865394274,3
10,2022-04-01,0.8333333333333334,336.0,336.0,0.0,1
12,2022-06-01,1.0,141.0,141.0,0.0,1
13,2022-07-01,1.0833333333333333,250.5,250.5,10.606601717798213,2
14,2022-08-01,1.1666666666666667,13.0,13.0,0.0,1
15,2022-09-01,1.25,96.33333333333333,105.0,15.011106998930272,3
17,2022-11-01,1.4166666666666667,49.0,49.0,0.0,1
18,2022-12-01,1.5,126.0,126.0,0.0,1
20,2023-02-01,1.6666666666666667,35.0,35.0,0.0,1
21,2023-03-01,1.75,10.0,10.0,0.0,1
29,2023-11-01,2.4166666666666665,291.0,291.0,0.0,1
32,2024-02-01,2.6666666666666665,208.5,208.5,20.506096654409877,2
33,2024-03-01,2.75,207.33333333333334,254.0,147.63919985333615,3
34,2024-04-01,2.8333333333333335,262.0,262.0,0.0,1
