elapsed_month,elapsed_years,mean,repo_count,count
0,0.0,201.90655506894825,24,367.0
1,0.08333333333333333,194.7275054945055,20,457.0
2,0.16666666666666666,164.93148240321767,16,549.0
3,0.25,187.42827770784427,14,341.0
4,0.3333333333333333,209.30477033124092,17,537.0
5,0.4166666666666667,160.94025682433207,15,696.0
6,0.5,184.90332216882715,19,728.0
7,0.5833333333333334,179.18887764313132,17,684.0
8,0.6666666666666666,196.73558433740322,17,843.0
9,0.75,170.3462866032621,16,927.0
10,0.8333333333333334,192.77530116006798,14,704.0
11,0.9166666666666666,188.81781497685688,16,756.0
12,1.0,186.04618533066855,19,744.0
13,1.0833333333333333,225.58539966185674,17,953.0
14,1.1666666666666667,154.27518630659014,17,862.0
15,1.25,156.3846990561709,18,1382.0
16,1.3333333333333333,218.87518457389623,17,1018.0
17,1.4166666666666667,168.5175569854393,16,830.0
18,1.5,155.50659207928092,16,764.0
19,1.5833333333333333,192.39338415244995,15,832.0
20,1.6666666666666667,182.215239943057,19,2013.0
21,1.75,177.60766640452553,19,1389.0
22,1.8333333333333333,163.54305998538877,14,986.0
23,1.9166666666666667,173.74390633176344,14,880.0
24,2.0,160.76062635023646,16,848.0
25,2.0833333333333335,173.15447537645062,16,742.0
26,2.1666666666666665,162.19751772695082,15,818.0
27,2.25,201.95001555335028,13,878.0
28,2.3333333333333335,196.72154793699258,15,859.0
29,2.4166666666666665,212.23785085881858,14,749.0
30,2.5,188.0593878103669,15,641.0
31,2.5833333333333335,161.45187012390357,13,522.0
32,2.6666666666666665,164.41043743199046,12,495.0
33,2.75,159.04480661919462,10,530.0
34,2.8333333333333335,178.84590470062128,9,399.0
35,2.9166666666666665,148.47849441352847,9,452.0
