index,rank,ur_id,pr_id,similarity_score,create_date,pull_request_date,latest_release_date,user_review,pull_request,url,author,label,relevance
3,1,7060b7da-b9fc-4167-b7d0-a38aca109e1c,MDExOlB1bGxSZXF1ZXN0MTA5MTU5NzIz,0.46312984824180603,2018-01-21 20:17:16,2017-03-05 18:48:33,2017-03-07 14:01:46,When uploading apps it crash everytime so annoying,"Check for external storage permission before downloading Cause otherwise we would get massive painful conflicts, this incudes #391 - check and merge that one first! Fixes #393 pull_request_#391: Use native ShareActionProvider Fixes #390 issue_#393: Downloading files crashes if don't already have storage permission TODO at bd97b9b#diff-0207cfb2164b044932178fb05fe3a752R185 Probably not caught as most users will upload a photo through the app before downloading",https://github.com/commons-app/apps-android-commons/pull/394,domdomegg,0,medium
5,1,af17251d-3d1d-442b-82db-b6f7d35aaf90,MDExOlB1bGxSZXF1ZXN0MTA5Mzg4Mzc3,0.19282853603363037,2017-03-21 19:36:19,2017-03-07 01:35:21,2017-03-07 14:01:46,"Doesn't do anything. Doesn't allow any editing, cropping of images, moves, navigation, etc. It's just a basic image viewer.",Use GridLayout to show grid of Images instead of RelativeLayout nan,https://github.com/commons-app/apps-android-commons/pull/401,veyndan,0,medium
6,1,7060b7da-b9fc-4167-b7d0-a38aca109e1c,MDExOlB1bGxSZXF1ZXN0MTA5ODEzOTI0,0.22862811386585236,2018-01-21 20:17:16,2017-03-09 00:14:08,2017-03-09 07:51:16,When uploading apps it crash everytime so annoying,Check ShareActionprovider is not null Not sure why this would need to be done but think that this could potentially temporarily fix #413 issue_#413: Something wrong with new Share Button Definitely my fault in #391 - but not sure what I've done wrong. Can't seem to reproduce bug in simulator or on any of my phones :/ If I can't fix this very soon we should revert to old one for the time being until we can test for this problem. Some logs from google groups:,https://github.com/commons-app/apps-android-commons/pull/414,domdomegg,0,medium
7,1,7060b7da-b9fc-4167-b7d0-a38aca109e1c,MDExOlB1bGxSZXF1ZXN0MTE1NzIwMzY1,0.3127989172935486,2018-01-21 20:17:16,2017-04-13 09:48:35,2017-04-15 08:54:16,When uploading apps it crash everytime so annoying,"Disable ACRA on debug builds Per #491 issue_#491: Turn off ACRA for debug builds I don't get any stack trace of exceptions caused by the app, but instead I get the ACRA dialog stating that the app has crashed. This usually leads me to commenting out the ACRA initialisation in CommonsApplication. Wouldn't it be better to turn off ACRA when doing a debug build and turn it on for release builds?",https://github.com/commons-app/apps-android-commons/pull/495,whym,0,medium
8,1,7060b7da-b9fc-4167-b7d0-a38aca109e1c,MDExOlB1bGxSZXF1ZXN0MTE2MDQ3NjI1,0.3806818425655365,2018-01-21 20:17:16,2017-04-16 03:51:15,2017-04-16 14:03:09,When uploading apps it crash everytime so annoying,"Keep obsolete license values to prevent crashe after upgrade A follow-up to #478, trying to solve #506. pull_request_#478: Create SettingsFragment Part of #455 Next is SingleUploadFragment spinner & Utils, and WelcomeActivity. Might find a way to not require a context in Utils, we'll see. Tested in API 25, 23, 21, 15 (emulators), and API 24 (Samsung Galaxy S6). I noticed the checkboxes are a bit weird styled in API 15 but it is present in the current version so this is not a change I have introduced. EDIT - Codacy always hates me - I've only added 1 of the 4 'issues', which is a line that is 101 characters instead of 100 that can't really be avoided sensibly. issue_#506: Beta version crashes: Unrecognized license value After upgrading to the beta version, the Settings screen immediately crashes for me. ANDROID_VERSION=6.0.1 APP_VERSION_NAME=2.2 BRAND=google PHONE_MODEL=Nexus 5 CUSTOM_DATA= STACK_TRACE= java.lang.RuntimeException: Unable to start activity ComponentInfo{fr.free.nrw.commons/fr.free.nrw.commons.settings.SettingsActivity}: java.lang.RuntimeException: Unrecognized license value at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2416) at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2476) at android.app.ActivityThread.-wrap11(ActivityThread.java) at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1344) at android.os.Handler.dispatchMessage(Handler.java:102) at android.os.Looper.loop(Looper.java:148) at android.app.ActivityThread.main(ActivityThread.java:5417) at java.lang.reflect.Method.invoke(Native Method) at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:726) at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:616) Caused by: java.lang.RuntimeException: Unrecognized license value at fr.free.nrw.commons.Utils.licenseNameFor(Utils.java:233) at fr.free.nrw.commons.settings.SettingsFragment.onCreate(SettingsFragment.java:22) at android.app.Fragment.performCreate(Fragment.java:2198) at android.app.FragmentManagerImpl.moveToState(FragmentManager.java:942) at android.app.FragmentManagerImpl.moveToState(FragmentManager.java:1148) at android.app.BackStackRecord.run(BackStackRecord.java:793) at android.app.FragmentManagerImpl.execPendingActions(FragmentManager.java:1535) at android.app.FragmentController.execPendingActions(FragmentController.java:325) at android.app.Activity.performStart(Activity.java:6267) at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2379) ... 9 more java.lang.RuntimeException: Unrecognized license value at fr.free.nrw.commons.Utils.licenseNameFor(Utils.java:233) at fr.free.nrw.commons.settings.SettingsFragment.onCreate(SettingsFragment.java:22) at android.app.Fragment.performCreate(Fragment.java:2198) at android.app.FragmentManagerImpl.moveToState(FragmentManager.java:942) at android.app.FragmentManagerImpl.moveToState(FragmentManager.java:1148) at android.app.BackStackRecord.run(BackStackRecord.java:793) at android.app.FragmentManagerImpl.execPendingActions(FragmentManager.java:1535) at android.app.FragmentController.execPendingActions(FragmentController.java:325) at android.app.Activity.performStart(Activity.java:6267) at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2379) at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2476) at android.app.ActivityThread.-wrap11(ActivityThread.java) at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1344) at android.os.Handler.dispatchMessage(Handler.java:102) at android.os.Looper.loop(Looper.java:148) at android.app.ActivityThread.main(ActivityThread.java:5417) at java.lang.reflect.Method.invoke(Native Method) at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:726) at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:616)",https://github.com/commons-app/apps-android-commons/pull/509,whym,0,high
11,1,7060b7da-b9fc-4167-b7d0-a38aca109e1c,MDExOlB1bGxSZXF1ZXN0MTE2MzAzMTM5,0.38716018199920654,2018-01-21 20:17:16,2017-04-18 11:07:48,2017-05-15 10:39:15,When uploading apps it crash everytime so annoying,"Test license selection in Settings Tests like this might help finding problems like #506 earlier and preventing regression. issue_#506: Beta version crashes: Unrecognized license value After upgrading to the beta version, the Settings screen immediately crashes for me. ANDROID_VERSION=6.0.1 APP_VERSION_NAME=2.2 BRAND=google PHONE_MODEL=Nexus 5 CUSTOM_DATA= STACK_TRACE= java.lang.RuntimeException: Unable to start activity ComponentInfo{fr.free.nrw.commons/fr.free.nrw.commons.settings.SettingsActivity}: java.lang.RuntimeException: Unrecognized license value at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2416) at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2476) at android.app.ActivityThread.-wrap11(ActivityThread.java) at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1344) at android.os.Handler.dispatchMessage(Handler.java:102) at android.os.Looper.loop(Looper.java:148) at android.app.ActivityThread.main(ActivityThread.java:5417) at java.lang.reflect.Method.invoke(Native Method) at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:726) at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:616) Caused by: java.lang.RuntimeException: Unrecognized license value at fr.free.nrw.commons.Utils.licenseNameFor(Utils.java:233) at fr.free.nrw.commons.settings.SettingsFragment.onCreate(SettingsFragment.java:22) at android.app.Fragment.performCreate(Fragment.java:2198) at android.app.FragmentManagerImpl.moveToState(FragmentManager.java:942) at android.app.FragmentManagerImpl.moveToState(FragmentManager.java:1148) at android.app.BackStackRecord.run(BackStackRecord.java:793) at android.app.FragmentManagerImpl.execPendingActions(FragmentManager.java:1535) at android.app.FragmentController.execPendingActions(FragmentController.java:325) at android.app.Activity.performStart(Activity.java:6267) at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2379) ... 9 more java.lang.RuntimeException: Unrecognized license value at fr.free.nrw.commons.Utils.licenseNameFor(Utils.java:233) at fr.free.nrw.commons.settings.SettingsFragment.onCreate(SettingsFragment.java:22) at android.app.Fragment.performCreate(Fragment.java:2198) at android.app.FragmentManagerImpl.moveToState(FragmentManager.java:942) at android.app.FragmentManagerImpl.moveToState(FragmentManager.java:1148) at android.app.BackStackRecord.run(BackStackRecord.java:793) at android.app.FragmentManagerImpl.execPendingActions(FragmentManager.java:1535) at android.app.FragmentController.execPendingActions(FragmentController.java:325) at android.app.Activity.performStart(Activity.java:6267) at android.app.ActivityThread.performLaunchActivity(ActivityThread.java:2379) at android.app.ActivityThread.handleLaunchActivity(ActivityThread.java:2476) at android.app.ActivityThread.-wrap11(ActivityThread.java) at android.app.ActivityThread$H.handleMessage(ActivityThread.java:1344) at android.os.Handler.dispatchMessage(Handler.java:102) at android.os.Looper.loop(Looper.java:148) at android.app.ActivityThread.main(ActivityThread.java:5417) at java.lang.reflect.Method.invoke(Native Method) at com.android.internal.os.ZygoteInit$MethodAndArgsCaller.run(ZygoteInit.java:726) at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:616)",https://github.com/commons-app/apps-android-commons/pull/525,whym,0,medium
12,1,0c19e5bd-d45f-4627-b9b7-5b113bbcab1e,MDExOlB1bGxSZXF1ZXN0MTE2OTcxMjk4,0.1859492063522339,2017-12-08 06:26:11,2017-04-21 12:07:55,2017-05-15 10:39:15,Can't browse existing content on Wikimedia Commons.,"Fix initial emptiness of Nearby list + refactoring Fixes #527 issue_#527: Nearby list is empty when first opened after install It appears that the Nearby list is reproducibly empty initially. A workaround is pressing refresh or going back and opening it again. Still, it is confusing to the user who is using the feature for the first time.",https://github.com/commons-app/apps-android-commons/pull/531,whym,0,medium
13,1,d7d3a7d1-2d52-4eba-8ee1-ff6f2f2b6faa,MDExOlB1bGxSZXF1ZXN0MTEwMDYxMTk4,0.3204008936882019,2018-02-26 11:03:06,2017-03-10 04:54:05,2017-03-10 09:08:30,Upload only. No way to browse Commons.,Fixes #417: Open mobile view of Commons nan,https://github.com/commons-app/apps-android-commons/pull/418,maskaravivek,0,high
14,2,0c19e5bd-d45f-4627-b9b7-5b113bbcab1e,MDExOlB1bGxSZXF1ZXN0MTEwMDYxMTk4,0.3116298317909241,2017-12-08 06:26:11,2017-03-10 04:54:05,2017-03-10 09:08:30,Can't browse existing content on Wikimedia Commons.,Fixes #417: Open mobile view of Commons nan,https://github.com/commons-app/apps-android-commons/pull/418,maskaravivek,0,high
15,1,7060b7da-b9fc-4167-b7d0-a38aca109e1c,MDExOlB1bGxSZXF1ZXN0MTEwMjkxMzg1,0.4632468819618225,2018-01-21 20:17:16,2017-03-12 08:48:30,2017-03-23 07:15:24,When uploading apps it crash everytime so annoying,Fixes #426: Crash fix caused by NPE Fixes crash issue.,https://github.com/commons-app/apps-android-commons/pull/427,maskaravivek,0,high
