index,rank,ur_id,pr_id,similarity_score,create_date,pull_request_date,latest_release_date,user_review,pull_request,url,author,label,relevance
0,1,6e4cd702-3e56-4ff5-bd0a-b235f4600e41,MDExOlB1bGxSZXF1ZXN0MTI2MTAwNDg=,0.30295395851135254,2015-03-09 05:42:08,2014-02-17 12:49:21,2014-07-13 05:05:36,"When i play any game, it is running very slow and also sound is running very slow, so developer please fix the problem. I want to give 5 stars","Add sceCtrl_driver ,sceDisplay_driver ,SysclibForKernel First step to fix Mahou Shoujo Lyrical Nanoha A'S Portable The Battle Of Aces Sim chinese version",https://github.com/hrydgard/ppsspp/pull/5497,sum2012,0,medium
2,1,79744441-eb2e-425e-aeeb-528e80bf19e3,MDExOlB1bGxSZXF1ZXN0MTYzMTk1MzA=,0.2594527006149292,2015-04-13 04:06:46,2014-05-26 01:46:40,2014-07-13 05:05:36,"Great app, I can play nearly all PSP games at perfect speed on my galaxy s5. Is anyone having an issue with FFVII crisis core? I know there's been issues in the past with this game but a few releases ago, I played through the whole game without issues, but now it freezes in the very beginning when you fight your first battle after getting off the train, it freezes, hangs then the app FCs. Other than that, great job on this emulator.","End the video when we run out of packets If there are no audio or video packets left, even if we haven't hit the pts, the video is over. Fixes #6135, hanging in Chinese translation of Clannad. The problem before was that it was ending too late, so this should be safe, and probably is correct (I did notice if there weren't any audio frames with the specified stream, it seemed to end immediately too.) -[Unknown]",https://github.com/hrydgard/ppsspp/pull/6142,unknownbrackets,0,medium
3,1,c20e536a-58aa-47fe-8f05-892f23aa6cb3,MDExOlB1bGxSZXF1ZXN0MTc4NjA1Mzg=,0.07072408497333527,2014-11-03 21:36:25,2014-07-01 23:26:19,2014-07-13 05:05:36,"I play assassins bloodlines blank bro ,why?",Correct sceKernelSelfStopUnloadModule Fix #4237 Fix #4058,https://github.com/hrydgard/ppsspp/pull/6481,sum2012,1,medium
4,1,6e88a529-a12f-4833-bbc7-80ff54ff32ab,MDExOlB1bGxSZXF1ZXN0MjkyNTAwMDc=,0.2817363739013672,2015-07-20 01:40:42,2015-02-13 09:19:41,2015-04-04 20:09:07,This app is great but GTA LCS crashes on my galaxy s4 god of war Ghost of Sparta runs fine but certain parts of the game I had to change settings around to get passed that part of the game I love this app!! please fix,"Save after changing recent list regarding #7472 . If this is not done then the config file (the main config, the per-game config files do not have recent entries) is loaded when a game with game-specific settings is touched. No clue what else to do.",https://github.com/hrydgard/ppsspp/pull/7473,Bigpet,1,medium
5,1,6ed1f2fd-4168-4c86-a4f7-ba454db833e9,MDExOlB1bGxSZXF1ZXN0Mzc3OTUzNzU=,0.15208466351032257,2015-09-03 12:54:48,2015-06-16 13:37:54,2015-07-02 16:58:48,"""Update Library"" = crash. I store my library on a NAS which can only be accessed by SMB. Kodi will play the files just fine but, when I ask it to update the library, it crashes. I can start it over and over again and, eventually, it will finish but something is royally broken and, according to google, I am not the only one who has this problem.",consider a CURLINFO_RESPONSE_CODE of zero a failed request Currently without this CCurlFile::Open() will happily return true even when the server could not be contacted. I believe this broke in 93db3b5 since cURL also happily reports CURLE_OK even when no response is received.,https://github.com/xbmc/xbmc/pull/7290,Jalle19,1,medium
7,1,328ea8de-892d-4c7e-ac01-1cd760002c6c,MDExOlB1bGxSZXF1ZXN0NDg4MjA2MA==,0.038204796612262726,2014-10-03 21:47:54,2013-03-29 08:56:59,2014-02-15 18:08:04,"Really good although it lags sometimes and can't be helped. The only thing stopping me from giving a higher rate is that it crashes games, I can't play FF Crisis Core without it crashing, and I've tried multiple rims of it already.","Track unknown sceIoIoctl commands better Messed this one up the first time around, missing the crucial detail of which cmd. Also an mpeg stub. -[Unknown]",https://github.com/hrydgard/ppsspp/pull/1094,unknownbrackets,1,medium
8,1,41d6254e-6ab3-42d0-8cc1-749e9512fd31,MDExOlB1bGxSZXF1ZXN0NTM2OTI1Nw==,0.1932007223367691,2014-05-15 14:04:40,2013-04-25 14:53:10,2014-02-15 18:08:04,"great graphic, and smooth performance for most of the games. sometimes stop working when I play persona 3 (cant touch any button) and force close when I play kingdom hearts but still stuning!",Revert the secondary texture cache Also fix two minor typo type issues. -[Unknown],https://github.com/hrydgard/ppsspp/pull/1529,unknownbrackets,1,medium
9,1,afc4dc64-6b63-440e-a962-d8e51d5cd458,MDExOlB1bGxSZXF1ZXN0NjQ5MzE4NQ==,0.13079747557640076,2014-06-28 23:23:09,2013-06-23 21:08:41,2014-02-15 18:08:04,Sometimes force close while i'm playing Crisis Core & 3rd Birthday. Please fix it. Xperia SP,"Fix some bugs in auto savedata modes, use structs This changes a lot of situations where addresses were computed manually to simply use structs and arrays. This makes the code look a lot clearer imho. It also uses PSPPointers now. Behavioral changes: -[Unknown]",https://github.com/hrydgard/ppsspp/pull/2423,unknownbrackets,1,medium
10,1,8f0750fb-7795-485a-9434-8540d31a266c,MDExOlB1bGxSZXF1ZXN0NzM1MDI2ODU=,0.28328901529312134,2017-05-07 05:20:05,2016-06-12 18:06:30,2016-06-30 20:04:17,It won't let me even download exodus.😠😠😠,[lang] handle disabled language addons in migration Currently it will attempt to download them instead.,https://github.com/xbmc/xbmc/pull/9969,tamland,0,medium
11,1,f6e9e064-3d95-4f3d-9560-a609caf133cc,MDExOlB1bGxSZXF1ZXN0NzQzNzI5OA==,0.08055967837572098,2014-08-10 11:57:45,2013-08-07 06:18:41,2014-02-15 18:08:04,"But when I play Tekken 6 , It run so slow!","Prep work for GE and CPU on separate threads This time there shouldn't be any deviation in behavior. It might hurt performance a tiny bit but afaict the difference is negligible. Threadsafe events were kinda buggy before, especially with remove and the added unschedule. More importantly, they weren't based on the same starting time, which I had not realized. I don't think GetTicks() will ever return garbage, so I just called it like always. Because savestates need to be run outside a syscall, and the above makes threadsafe events run inside them (so there's no change in behavior), this just handles savestates more specially. They've already got a good chunk of code throughout dedicated to them, so they might as well be special. Fixes the differences I could reproduce, but makes savestate actions slightly more delayed. Does open the door better for ""rewind"" (frame based) if that can be practical. -[Unknown]",https://github.com/hrydgard/ppsspp/pull/3075,unknownbrackets,1,medium
12,1,68730db7-62b8-4679-ad9a-eb3342a081d4,MDExOlB1bGxSZXF1ZXN0NzgzOTMxNQ==,0.224392831325531,2015-01-28 20:15:48,2013-08-24 13:55:30,2014-02-15 18:08:04,"well , im just installed this app and then WHEN I START game , ( Naruto Ultimate Ninja Impact ) Suddenly THE GAME CRASHES","Fix Android, SDL(for real this time), and on Win32, place CwCheatScreen.cpp/h under the correct filter folder. nan",https://github.com/hrydgard/ppsspp/pull/3364,thedax,1,medium
