index,rank,ur_id,pr_id,similarity_score,create_date,pull_request_date,latest_release_date,user_review,pull_request,url,author,label,relevance
0,1,0c19e5bd-d45f-4627-b9b7-5b113bbcab1e,MDExOlB1bGxSZXF1ZXN0MjAxNDQ5MzMx,0.4849998354911804,2017-12-08 06:26:11,2018-07-14 12:12:21,,Can't browse existing content on Wikimedia Commons.,"Add feature to Browse commons via app [Description] Improvements in category images activity (Changed it to explore activity) added search activity with 2 fragments (one for searching images, other for categories) Added recent Search history and delete recent search hostory feature Added a category details page (includes media, subcategories, parent categories inside that category) issue_#1221: Allow users to browse Commons from app [Summary:] My suggestion is to enable the user to access the Mobile version of Wikimedia Commons Website within their app. This would give an integrated feel to the user. I noticed that this has been the main concern with people in playstore reviews. Sorry if this issue has already been discussed [Steps to reproduce:] Adding a new activity which would display the mobile version of Wikimedia Commons app using a webView.",https://github.com/commons-app/apps-android-commons/pull/1716,ujjwalagrawal17,0,high
1,1,0f1fd9d2-f392-4ba6-8d9a-28794c35f168,MDExOlB1bGxSZXF1ZXN0MTIxNTEyNDM0,0.22649407386779785,2016-09-22 04:44:56,2017-05-19 14:25:44,,Should be more sharper,"Further improve image loading, and remove a lot of unused code. nan",https://github.com/commons-app/apps-android-commons/pull/632,dbrant,0,medium
2,1,13469ca0-684c-43e7-b035-f0abcb0ca87c,MDExOlB1bGxSZXF1ZXN0MTExNTA3NDIx,0.3692045509815216,2016-07-28 11:19:29,2017-03-20 08:46:56,,Cannot login even if i have created an account with Wikipedia. I think the app must be awesome. Please fix this issue asap.,Revert login-breaking commit Fix #443 issue_#443: Crash at login (pre-release) Logging in to the pre-release (current master) version crashes on all APIs that I've tried (23 and 25 so far). Trying to figure out what changes we made that broke it.,https://github.com/commons-app/apps-android-commons/pull/444,misaochan,0,high
3,2,13469ca0-684c-43e7-b035-f0abcb0ca87c,MDExOlB1bGxSZXF1ZXN0ODEyMDkzNDc=,0.5113430023193359,2016-07-28 11:19:29,2016-08-13 07:04:48,,Cannot login even if i have created an account with Wikipedia. I think the app must be awesome. Please fix this issue asap.,"Fix bugs associated with new signup feature Fix #48 issue_#48: Allow account creation from within the app Non-Wikimedians who witness an important event may become aware of the app and install it in a hurry to upload their pictures. But anonymous upload is not allowed by Commons (""You must be logged in to upload file""). In such case, better make whatever we can to make account registration as fast and straightforward as possible. Embedding that within the app would be the best. For reference, the web site registration form looks like this:",https://github.com/commons-app/apps-android-commons/pull/227,misaochan,0,medium
4,3,13469ca0-684c-43e7-b035-f0abcb0ca87c,MDExOlB1bGxSZXF1ZXN0ODA5MDU0NjM=,0.466223806142807,2016-07-28 11:19:29,2016-08-11 05:26:00,,Cannot login even if i have created an account with Wikipedia. I think the app must be awesome. Please fix this issue asap.,"Account creation from within app (web view) Fixes #48 . This works appropriately (redirects user to login screen) after creation of the first account. If the user tries to create a 2nd account, the redirection doesn't work (the user isn't redirected, although they can manually return by back button). Reinstalling the app resolves this. Given that a user is expected to only create an account once, I think this is a minor bug so we can release this for the time being while I try to figure out the reason. issue_#48: Allow account creation from within the app Non-Wikimedians who witness an important event may become aware of the app and install it in a hurry to upload their pictures. But anonymous upload is not allowed by Commons (""You must be logged in to upload file""). In such case, better make whatever we can to make account registration as fast and straightforward as possible. Embedding that within the app would be the best. For reference, the web site registration form looks like this:",https://github.com/commons-app/apps-android-commons/pull/225,misaochan,0,medium
5,1,16a16537-cfd7-409c-8eaf-0dd9f997b541,MDExOlB1bGxSZXF1ZXN0MTA5MTI1NDA4,0.6404184103012085,2016-09-02 05:34:59,2017-03-04 22:18:06,,"The software only allows cc-0, cc-by-3.0 and cc-by-sa-3.0 yet there's no option to choose cc 4.0. It needs to be updated to include this option",Fixes #144: Add CC 4.0 to license options Have added the two new license options to fix #144. Please suggest changes as required. Attached screenshot issue_#144: Add new licenses CC-BY-SA 4.0 CC-BY 4.0,https://github.com/commons-app/apps-android-commons/pull/382,maskaravivek,0,high
6,2,16a16537-cfd7-409c-8eaf-0dd9f997b541,MDExOlB1bGxSZXF1ZXN0MTA5MTI4ODg1,0.5327703356742859,2016-09-02 05:34:59,2017-03-05 00:12:12,,"The software only allows cc-0, cc-by-3.0 and cc-by-sa-3.0 yet there's no option to choose cc 4.0. It needs to be updated to include this option",Fixes #323: Provide explicit selection of licenses when uploading image As per the discussion in the thread for this issue I have added an option to select the license before uploading the image. Have made another pull request #382 which adds the new CC 4.0 license options. Have implemented using the option 2 suggested by @misaochan. Attached screenshots. The license summary updates on changing the license and is saved as the default preference for the user. pull_request_#382: Fixes #144: Add CC 4.0 to license options Have added the two new license options to fix #144. Please suggest changes as required. Attached screenshot,https://github.com/commons-app/apps-android-commons/pull/383,maskaravivek,0,high
7,1,1d73f0e6-4655-4d61-9e89-5abe9a44fa72,MDExOlB1bGxSZXF1ZXN0MTE1NzY3MDA1,0.5078015327453613,2016-12-29 00:28:17,2017-04-13 14:18:29,,It's cool how it lets you contribute to Wikipedia via creative Commons licensed photos that you take this has been the easiest way for me to add to Wikipedia,"Switch Nearby to Wikidata Query Fixes #289 partially - not a full migration but a first step. Wikidata-based results seem to be less accurate - it sometimes suggests articles with images on Wikipedia pages (but without an image on Wikidata). I think further filtering is necessary. This may fix #485 too. (It works for me, but please test.) issue_#289: Switch to Wikidata in addition instead of wiki-needs-pictures I started to wonder whether we should use Wikidata instead of wiki-needs-pictures. Advantages of Wikidata: Advantages of wiki-needs-pictures: All of the API requests we need (and more) can be found in the new WikiShootMe: https://tools.wmflabs.org/wikishootme/ When this WDFIST issue is fixed, I think we should also link to WDFIST like WikiShootMe does. For Wikidata items that do not have an image, it proposes some found on the Wikipedia articles linked to this item. Extremely useful before deciding whether walking that 2 kilometers detour is really worth it. issue_#485: Pre-release Nearby does not detect location The pre-release version of Nearby (current master branch) loads the CSV, but does not detect your location when used in a freshly-installed app. Tested on an API 24 real device (Samsung Galaxy S7). The released version works fine (tested on the same night). Might have something to do with location permissions not being asked? Not sure, will have to test further. @maskaravivek , what do you think could have broken it?",https://github.com/commons-app/apps-android-commons/pull/497,whym,0,high
8,1,4406bfa6-f86b-4a3b-9496-85494a64156f,MDExOlB1bGxSZXF1ZXN0MTkwODY1NDQz,0.3401077389717102,2017-07-05 19:51:33,2018-05-28 08:18:53,,No search feature. All it does is manage what you uploaded and allow you to upload more.,"Fixes #1521 (Search activity, image search feature added.) [Description] Search activity added for browse feature Menu added in featured image activity to Open search activity Search Image Fragment added which has a recyclerview to show search results (images) Search Activity contains a toolbar with edittext to search which on text change updates imageList Also onclick of image in search results, a instance of media detail pager fragment replaces a search images fragment. (To open media details) SearchImageRenderer added (handles presentation of individual image) Icons for search and back button are added. issue_#1521: Add search Images from commons feature This is a child issue of #1221 [Summary:] The users should be able to search images directly using name/description from commons. issue_#1522: Browse search field: Pressing Enter should launch search, rather than add newline character Steps: Result: A newline character is added Expected: The search is launched Also: Some apps are able to change the Enter key into a loop symbol, that would be cool. @ujjwalagrawal17",https://github.com/commons-app/apps-android-commons/pull/1561,ujjwalagrawal17,0,high
9,2,4406bfa6-f86b-4a3b-9496-85494a64156f,MDExOlB1bGxSZXF1ZXN0MTkyNTk2NzE2,0.43677210807800293,2017-07-05 19:51:33,2018-06-05 05:49:05,,No search feature. All it does is manage what you uploaded and allow you to upload more.,"Added recently searched images feature [Description] RecentSearchContentProvider added RecentSearchDao added Changed database version to 7. RecentSearchFragment added to show the list of recent searches Managed visibility of recent search fragment and searchImageFragment according to query. issue_#1569: Search Image History [Summary:] This is an enhancement to #1521 (Search Images feature) When the user touches the search icon in explore tab they see a blank screen. Instead, we can show the search history on the screen.",https://github.com/commons-app/apps-android-commons/pull/1587,ujjwalagrawal17,0,medium
10,1,4d8f10c8-116d-4848-ba3e-33ccac6544c9,MDExOlB1bGxSZXF1ZXN0MTMwNzIyMjcy,0.2675880193710327,2016-10-08 17:20:06,2017-07-15 16:57:52,,It works but the interface needs some polish,"Fix issues in Media Detail screen I was initially just going to fix i18n-related issues in MediaDetailFragment, but it had some important bugs that I felt had to be fixed. I hope these are not too many changes for a single PR, as they are all focused on the same screen:",https://github.com/commons-app/apps-android-commons/pull/777,akaita,0,high
