index,rank,ur_id,pr_id,similarity_score,create_date,pull_request_date,latest_release_date,user_review,pull_request,url,author,label,relevance
0,1,0bcc4225-a5ca-485c-b978-2d37abfe959c,MDExOlB1bGxSZXF1ZXN0Mjk3ODY3MzI=,0.1574784815311432,2015-02-17 22:48:26,2015-02-23 05:16:10,,With the new update whenever I try to play p3p it black screens and I can't even get to the start menu,"Floor float z coords in throughmode Fixes #6766 in 32-bit mode only (not broken in 64-bit.) Anyway, this should be more correct in case a game does pass 0.5 or something. -[Unknown]",https://github.com/hrydgard/ppsspp/pull/7516,unknownbrackets,1,medium
2,1,3586488b-242c-4ebd-b049-c664e239f33c,MDExOlB1bGxSZXF1ZXN0NTcwMDQ1MjEy,0.3438731729984283,2020-10-11 08:13:54,2021-02-09 06:12:01,,"Had few issues, reported them to support and they got fixed on next release. Awesome","Upgrade xrate-kit dependencies with duplicate coins fixes Ref #3169 Removed dublicates for Holo, Bidao, Thorchain and BTC-Alpha tokens issue_#3169: Market: List of tokens in categories does not match probably due to the fact that some tokens have the same codes",https://github.com/horizontalsystems/unstoppable-wallet-android/pull/3190,nk-the-crazy,0,medium
3,1,396f7326-7875-48e6-a54a-1884d7de4c99,MDExOlB1bGxSZXF1ZXN0NzM3MzMzMg==,0.0993825420737266,2013-04-07 00:24:26,2013-08-04 07:47:01,,Without bug it will be perfect,"Win32/NewUI: Address debug log bug and placement in menu. It was being enabled and disabled at weird times since the settings don't take effect until one exits the page. This mostly rectifies that, though it won't be instant like the old UI, due to how the two UIs differ when events are sent. Also changed the behaviour of WM_USER_LOG_STATUS_CHANGED slightly to make it open a debug console when checked/true, in addition to simply re-enabling the menu bar option. If the user enables it, they probably want to see the output, so it makes sense to do it this way. One last thing, the option to En/Disable debug logging's been moved to Developer Tools to be consistent with the Old UI. This is an option intended for developers/power users, after all.. Should fix #3047's main issues.",https://github.com/hrydgard/ppsspp/pull/3050,thedax,0,high
4,1,4b7bb17b-7e87-4f94-acb0-7ad83a764e8d,MDExOlB1bGxSZXF1ZXN0MTYyODg1Njcw,0.2041581869125366,2017-11-03 02:13:18,2018-01-15 07:41:41,,Latest update fails to launch on Nexus Player running Oreo. Update: Issue was promptly fixed. Hope this type of oversight doesnt happen again. Thanks!,"AML: remove check for no longer used amlvideo/omx_pts [Description] Remove check for existence of omx_pts parameter of amlvideo module, last usage of which was removed in a matter of this commit: 58acb4e#diff-e39867d73d40423a9182df49306f1c6aL128 so it is no longer used anywhere on any kernel. And being not available on 4.9 kernel stops amlcodec from being properly initialized. [Motivation and Context] Adopting latest kernel from amlogic (4.9) to be able to run Kodi",https://github.com/xbmc/xbmc/pull/13368,Owersun,1,high
5,1,55d11b9c-802b-49dd-a065-4ef14749b50d,MDExOlB1bGxSZXF1ZXN0MTEyMTI3ODU=,0.1874871999025344,2013-09-01 14:29:56,2014-01-03 17:24:36,,"I love it, It is just a little bit slow on my galaxy s3 pleaseeee fix",Also disable vertex cache option if hw transform is disabled nan,https://github.com/hrydgard/ppsspp/pull/4991,ufdada,1,medium
6,1,637a4461-61a2-4095-8f5b-e779ff432536,MDExOlB1bGxSZXF1ZXN0NjEzNDE5MDk=,0.2159682214260101,2015-08-19 18:29:19,2016-03-02 02:20:23,,"Just went through $10 worth of data downloading psp and it keeps saying ""unfortunately psp emulator has stopped"" This happens at the beginning after the Rom has loaded and about to start...gta vice city stories is the only game I've downloaded and I'm afraid to waste any more data downloading a different game that may produce the same result.😡","Avoid reloading save info on move/resize We don't really need to do this all the time, we can just do it on exit of the entire screen. Also fixes a crash on close. Fixes #8619. -[Unknown]",https://github.com/hrydgard/ppsspp/pull/8621,unknownbrackets,1,high
7,1,6eec57ff-8b2f-4574-a31b-08e925472964,MDExOlB1bGxSZXF1ZXN0MTM4NzMyNTM=,0.0203202106058597,2013-12-14 22:16:23,2014-03-22 23:16:47,,I am playing persona 3. when I am in tartarus the screen would go black and all I can see is the map. I hate the update. please fix it. :((( As well as for selecting a reply for the conversation it also goes black in the background,"x86 jit and vertex jit changes, ARM emitter changes Extracted out the x86 changes (which I've tested in some games and @solarmystic had tested in others), and some ARM emitter fixes which are relatively straight forward. #5687 is clearly too long. -[Unknown]",https://github.com/hrydgard/ppsspp/pull/5693,unknownbrackets,1,medium
8,1,73a0e526-60ce-4a20-8791-354e2ed0beb4,MDExOlB1bGxSZXF1ZXN0ODQwNjMxMDc=,0.1246560364961624,2015-11-04 04:55:43,2016-09-06 05:39:33,,I followed every procedure online and finally got this app working. Briefly. I spend more time re starting the thing. One minute works next minute crashing. UI is painful like using a cash machine.,"VideoPlayer: move SetVideoDimensions to GetFormat, coded_width may no… …t be set in Open Dimensions were missing if demux stream did not provide extradata.",https://github.com/xbmc/xbmc/pull/10410,FernetMenta,1,medium
9,1,7f78fbea-28c8-419e-8337-da1fcd642eee,MDExOlB1bGxSZXF1ZXN0ODM5MTY0Mjc=,0.0764088407158851,2016-08-13 11:04:24,2016-09-04 08:07:28,,It wont open the app just keeps crashing,"[estuary] Avoid empty variables Empty variables are skipped, so instead of empty use a window property Window(Home).Property(empty.value) @ronie would this be acceptable or should core be changed to not skip an empty variable? @ksooo this fixes the overlay issue on the parent item folder.",https://github.com/xbmc/xbmc/pull/10392,BigNoid,1,medium
10,1,80360ba6-8a9a-4826-ae52-fe16d24d8462,MDExOlB1bGxSZXF1ZXN0MjA1OTI4MzU=,0.1668758690357208,2013-10-05 21:31:45,2014-09-02 05:34:47,,I want to play a game but then it stucks on a black screen with only controller shown. Sorry bad english,"Fix the vrndi.s output range Was previously outputting only valid positive float values, but should use a much wider range of a u32. Might've affected randomness in some games. -[Unknown]",https://github.com/hrydgard/ppsspp/pull/6823,unknownbrackets,1,medium
11,1,960e1aa6-0553-405b-97ef-c0f79e11d540,MDExOlB1bGxSZXF1ZXN0MTI1MzAyMzY=,0.1707508116960525,2013-07-14 15:03:58,2014-02-13 21:25:25,,It's really good. But there should be a way to fix lag on it. I'm probably not doing things right but I got one game to run smoothly.,WinUI: Don't crash by referencing a nullptr when changing the rendering resolution. Should fix #5436.,https://github.com/hrydgard/ppsspp/pull/5439,thedax,1,medium
12,1,a24bd05f-d273-409d-9681-1a882e6782e8,MDExOlB1bGxSZXF1ZXN0Mjg4NjE3Nzg=,0.1163279637694358,2014-12-05 18:51:16,2015-02-07 09:24:22,,It always crash when i play naruto ultimate ninja storm im using asus fonepad 7,"Update to xBRZ 1.2, with its perf improvements Performance improvements in PPSSPP not measured, but xBRZ expects 30% improvement. Fixes #7443. I did nerf a few whitespace-only changes. All I did to test was run a few games with 5x scaling. It seemed possibly faster but I didn't bench anything. Didn't notice any differences in how it looked (which is expected.) -[Unknown]",https://github.com/hrydgard/ppsspp/pull/7449,unknownbrackets,1,medium
13,1,adb953d1-03d0-4773-9e86-da10f3a4c034,MDExOlB1bGxSZXF1ZXN0MTI3NTEyNDMz,-0.0163621362298727,2016-08-28 10:57:23,2017-06-26 16:38:28,,Looks great little slow but at least i could see my boxing fights here so hell yeah!,service addons: replace synchronous add-on hooks with event handlers This should fix the issues with services getting started multiple times.,https://github.com/xbmc/xbmc/pull/12370,tamland,0,medium
15,1,b5e5915c-0d79-443b-8e35-1dc6967be590,MDExOlB1bGxSZXF1ZXN0MjE0Mzk1MzE=,0.3190354108810425,2014-08-09 16:49:47,2014-09-18 15:04:03,,"It always appears black screen and I wanted to play Dragon ball z but it doesn't works.Please give me a solution for it,Henrik Rydgard ,the developer.","d3d: Fix depal flipping and negative z This makes it actually render something. It's wrong though (possibly bgra problems.) Using an indexed draw, there's a triangle cut out on the right side. I think the z was clipping causing it not to draw anything before. -[Unknown]",https://github.com/hrydgard/ppsspp/pull/6923,unknownbrackets,1,high
16,1,bbf38539-7514-4225-97e5-dd3cb049547b,MDExOlB1bGxSZXF1ZXN0MTY3MjQ0MDgw,0.2762558758258819,2017-08-28 01:01:19,2018-02-05 20:16:28,,Crashes on start up. Now completely useless. Wouldn't surprise me if it's deliberate.,Remove ServiceBroker usage from FileExtensionProvider This supersedes #13470. It contains the fix posted lower in the thread. Compiles successfully. Unit tests don't segfault.,https://github.com/xbmc/xbmc/pull/13486,garbear,1,high
