repository_id,ur_id,pr_id,create_date,pull_request_date,latest_release_date,review,title,description,url,author,target
10,8a7d2691-0775-439d-8fd4-5c502ee33441,MDExOlB1bGxSZXF1ZXN0Mjk1NDk2MQ==,2014-02-22 23:52:21,2012-11-10 10:45:31,2014-02-15 18:08:04,Nice emulator works best on my phone,Texture format and CLUT awareness for the cache,"Fixes the intro screen in Tales of Eternia, but for some reason, the Namco logo is purple instead of red.",https://github.com/hrydgard/ppsspp/pull/28,Orphis,0
10,56eae224-8b85-4f57-89db-a718d49737a8,MDExOlB1bGxSZXF1ZXN0MzA0MzkxMA==,2014-09-29 13:46:44,2012-11-19 00:13:21,2014-02-15 18:08:04,Please help,Build JNI for Android in Ant file,,https://github.com/hrydgard/ppsspp/pull/62,Orphis,0
10,99b1f418-cd1f-43d9-a467-f6db094d97e5,MDExOlB1bGxSZXF1ZXN0MzExNjc5Mg==,2014-04-08 19:27:13,2012-11-26 02:43:51,2014-02-15 18:08:04,Its a. Very good app.I'm able to play games like metal gear solid portable ops.keep up the good work,CMakeLists cleanup; Improve portability to future platforms; iOS support,Tabified CMakeLists. Introduced USING_GLES2 and X86 option and exposed USING_GLES2 to C++. Removed some redundancies and messiness. Make use of new USING_GLES2 define throughout PPSSPP. Also use ARM definition where suitable. Remove some redundancy with includes. Preliminary iOS support,https://github.com/hrydgard/ppsspp/pull/94,xsacha,0
10,6a97824a-bcb6-4bc0-8625-2183e4b353bb,MDExOlB1bGxSZXF1ZXN0MzEzMDcyMg==,2014-12-16 22:26:11,2012-11-26 23:40:00,2014-02-15 18:08:04,My cousin is playing assassins creed bloodlines on quad core 1 gb ram phone and i am unable to play it having 2 gb ram because it force closes and please add the option to save different settings for different games or auto settings adjust aption according to the game,add more rtc functions,Ones marked HACK either fail the unit tests or have some other weird behaviour that's not quite the same as a PSP.,https://github.com/hrydgard/ppsspp/pull/98,,0
10,28a3b581-b543-4405-ad32-93e566488294,MDExOlB1bGxSZXF1ZXN0MzIzNTU5MA==,2014-12-26 00:05:28,2012-12-04 21:37:20,2014-02-15 18:08:04,Where can i download games?,Improve the sceRtcTickAddMonths method,I've made sceRtcTickAddMonths work a lot closer to hardware. I still have a load of other things with the rtc code to submit but in the process of building a new PC so its going to take a few days as I need to be able to run some tests via psplink which is currently not working here.,https://github.com/hrydgard/ppsspp/pull/123,,0
10,0b87a255-86de-4bf2-a86d-e306dc93b44d,MDExOlB1bGxSZXF1ZXN0MzQwNzY4MQ==,2014-11-27 01:45:12,2012-12-18 10:00:11,2014-02-15 18:08:04,Best and only psp emulator!!!,Ensure interrupts don't run on real threads,"Maybe this'll help Puyo Puyo, didn't break any of my games and should be correct afaict. If a thread waits on a sema, and an interrupt (such as an alarm) happens, and the interrupt signals or deletes the sema, it needs to return the value correctly. For callbacks, it's injected, since they run on thread. But interrupts aren't supposed to run on thread anyway, so this switches to idle. -[Unknown]",https://github.com/hrydgard/ppsspp/pull/194,unknownbrackets,0
10,de1de23e-202d-4beb-afd8-092ab2a39939,MDExOlB1bGxSZXF1ZXN0MzQ1NjM1Nw==,2014-08-09 17:01:43,2012-12-21 07:01:18,2014-02-15 18:08:04,"What setting shold i use for playing moster hunter, im using samsung tab 2 p3100, help me please ok!","Implement Vsrt1,Vsrt2,Vsrt3,Vsrt4",,https://github.com/hrydgard/ppsspp/pull/210,dbz400,0
10,7799c30e-1e61-4d53-8107-c58a1530ff4e,MDExOlB1bGxSZXF1ZXN0MzQ3NzM2Mg==,2014-09-14 21:26:30,2012-12-25 03:28:22,2014-02-15 18:08:04,where in the world can i download games. huh,sceUtility / savedata fixes,"Mostly, this makes all the current sceUtility dialog funcs return 0 (for now), and it also fixes some crashes I was hitting dealing with pngs. This fixes Vempire and Canabalt, and quite probably other games. Some other games still have problems but no longer go into loops. I'm hoping it fixes Saint Seyia Omega, MotoGP, and Star Soldier (none of which I have.) @Xele02, let me know if you don't like any of my changes, had been thinking there might be a missing CloseFile() at first or something. -[Unknown]",https://github.com/hrydgard/ppsspp/pull/251,unknownbrackets,0
10,88f99d95-6609-4d4c-b056-6e0ca42874c7,MDExOlB1bGxSZXF1ZXN0MzQ4NTEwNA==,2015-01-30 11:59:33,2012-12-26 19:35:11,2014-02-15 18:08:04,It does'nt have Grand theft auto or gta so please put some gta on it........:(,Highlight changed regs in the Windows debugger,A simple change to just highlight the changed registers in red so your eyes don't glaze over while debugging. -[Unknown],https://github.com/hrydgard/ppsspp/pull/261,unknownbrackets,0
10,6dad5c35-5882-4f8b-a95f-ea333e9c0a50,MDExOlB1bGxSZXF1ZXN0MzU2MTAwMg==,2014-06-24 19:06:49,2013-01-06 03:45:05,2014-02-15 18:08:04,It's perfect! Congratulations,Add few stubs and add getCodecType in sceAtrac,Add getCodecType Add sceAtracSetMOutHalfwayBuffer Add sceAtracSetAA3DataAndGetID,https://github.com/hrydgard/ppsspp/pull/338,dbz400,0
